tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
010,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003213,    0.000000,    0.256067,    0.000000,    0.000000,         0,         1048576,000,003,000001
011,1651769344,    6300, 1809.437256,   20.000000,16553.003906, 1624.742676,14937.492188,   14.649535, 1614.654785, 1609.331543, 1538.904907, 1534.606079,      6300,         1048576,000,003,000001
012,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003050,    0.000000,    0.258057,    0.000000,    0.000000,         0,         1048576,000,003,000001
013,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003247,    0.000000,    0.257937,    0.000000,    0.000000,         0,         1048576,000,003,000001
014,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003077,    0.000000,    0.256390,    0.000000,    0.000000,         0,         1048576,000,003,000001
015,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002877,    0.000000,    0.256167,    0.000000,    0.000000,         0,         1048576,000,003,000001
000,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003203,    0.000000,    0.254947,    0.000000,    0.000000,         0,         1048576,000,004,000001
001,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003143,    0.000000,    0.254533,    0.000000,    0.000000,         0,         1048576,000,004,000001
002,1651769344,    6300, 1732.269653,   20.000000,16580.628906, 1605.199097,14984.220703,   14.439673, 1595.645386, 1589.921753, 1528.171143, 1524.013672,      6300,         1048576,000,004,000001
003,1651769344,    6300, 1738.304565,   20.000000,16415.824219, 1605.377075,14823.398438,   14.658412, 1591.485596, 1589.618286, 1529.076660, 1526.973267,      6300,         1048576,000,004,000001
004,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002723,    0.000000,    0.253757,    0.000000,    0.000000,         0,         1048576,000,004,000001
005,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003387,    0.000000,    0.253513,    0.000000,    0.000000,         0,         1048576,000,004,000001
006,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003473,    0.000000,    0.254767,    0.000000,    0.000000,         0,         1048576,000,004,000001
007,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003100,    0.000000,    0.254780,    0.000000,    0.000000,         0,         1048576,000,004,000001
008,1651769344,    6300, 1801.905273,   20.000000,16398.187500, 1638.559814,14769.027344,   15.174437, 1627.995483, 1622.116211, 1547.954224, 1543.646973,      6300,         1048576,000,004,000001
009,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002993,    0.000000,    0.255210,    0.000000,    0.000000,         0,         1048576,000,004,000001
010,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003083,    0.000000,    0.256720,    0.000000,    0.000000,         0,         1048576,000,004,000001
011,1650458624,    6295, 1808.665405,   20.000000,16561.740234, 1623.222900,14945.916992,   14.569226, 1615.253296, 1607.902344, 1538.920410, 1532.736816,      6296,         1048576,000,004,000001
012,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003037,    0.000000,    0.257877,    0.000000,    0.000000,         0,         1048576,000,004,000001
013,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002747,    0.000000,    0.257290,    0.000000,    0.000000,         0,         1048576,000,004,000001
014,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003283,    0.000000,    0.256077,    0.000000,    0.000000,         0,         1048576,000,004,000001
015,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002800,    0.000000,    0.255790,    0.000000,    0.000000,         0,         1048576,000,004,000001
000,1386741760,    5289, 1542.349731,   20.000000, 9663.290039, 8787.693359, 1243.287476,    4.132317, 8419.246094, 8783.965820, 8085.345215, 8437.014648,      5289,         1048576,000,000,000128
001,1395916800,    5324, 1552.532959,   20.000000, 9591.226562, 8848.239258, 1140.197388,    3.739899, 8450.323242, 8844.891602, 8126.878906, 8497.371094,      5324,         1048576,000,000,000128
002,1392246784,    5310, 1547.672729,   20.000000, 9616.915039, 8828.272461, 1198.565552,    3.940898, 8417.609375, 8824.890625, 8090.196289, 8474.387695,      5310,         1048576,000,000,000128
003,1385955328,    5286, 1617.586548,   20.000000, 9552.879883, 8818.730469, 1150.610962,    4.317799, 8402.385742, 8814.323242, 8069.976074, 8461.758789,      5287,         1048576,000,000,000128
004,1384120320,    5279, 1540.612915,   20.000000, 9693.995117, 8757.683594, 1302.784302,    4.027145, 8390.513672, 8754.099609, 8061.240234, 8414.577148,      5279,         1048576,000,000,000128
005,1384906752,    5282, 1540.545166,   20.000000, 9663.270508, 8786.935547, 1240.424438,    3.779656, 8423.649414, 8783.529297, 8092.718262, 8433.593750,      5283,         1048576,000,000,000128
