tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
006,00000000,00209980,00001350,010,00150323,00003115,00000000,001024,003,001,00001024,00104996,01,0000021305472919,00000000,00000000,004,002,016,016,1
007,00000000,00209417,00001048,010,00151758,00003238,00000000,001024,003,001,00001024,00105333,01,0000021147004134,00000000,00000000,004,002,016,016,1
008,00000000,00209772,00001050,010,00151359,00003155,00000000,001024,003,001,00001024,00105062,01,0000021168846717,00000000,00000000,004,002,016,016,1
009,00000000,00209139,00001287,010,00152810,00003241,00000000,001024,003,001,00001024,00104901,01,0000021581271761,00000000,00000000,004,002,016,016,1
010,00000000,00209458,00001517,010,00152152,00003205,00000000,001024,003,001,00001024,00104922,01,0000021494854589,00000000,00000000,004,002,016,016,1
011,00000000,00209710,00003100,010,00153886,00003076,00000000,001024,003,001,00001024,00105259,01,0000020941999655,00000000,00000000,004,002,016,016,1
012,00000000,00209563,00001580,010,00152490,00003199,00000000,001024,003,001,00001024,00105009,01,0000020294100854,00000000,00000000,004,002,016,016,1
013,00000000,00209198,00001389,010,00154843,00003174,00000000,001024,003,001,00001024,00105200,01,0000020944012370,00000000,00000000,004,002,016,016,1
014,00000000,00209451,00001730,010,00152584,00003181,00000000,001024,003,001,00001024,00104892,01,0000020246145404,00000000,00000000,004,002,016,016,1
015,00000000,00209713,00001073,010,00152779,00003186,00000000,001024,003,001,00001024,00105094,01,0000020450902399,00000000,00000000,004,002,016,016,1
000,00000000,00630469,00004246,010,00377451,00016324,00000000,001024,000,002,00001024,00317101,01,0000019686347475,00000000,00000000,004,002,016,016,1
001,00000000,00629349,00002941,010,00377302,00016567,00000000,001024,000,002,00001024,00316429,01,0000019878029781,00000000,00000000,004,002,016,016,1
002,00000000,00631863,00003918,010,00376782,00016288,00000000,001024,000,002,00001024,00317948,01,0000019242817271,00000000,00000000,004,002,016,016,1
003,00000000,00632144,00002713,010,00376181,00016298,00000000,001024,000,002,00001024,00318126,01,0000019657910629,00000000,00000000,004,002,016,016,1
004,00000000,00631286,00013916,010,00377814,00016277,00000000,001024,000,002,00001024,00317788,01,0000019912965650,00000000,00000000,004,002,016,016,1
005,00000000,00629831,00003598,010,00376017,00016223,00000000,001024,000,002,00001024,00316733,01,0000019745116935,00000000,00000000,004,002,016,016,1
