tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
013,00000000,00386907,020,00277427,00000000,00000000,001024,002,001,00016384,00195519
014,00000000,00381548,020,00275594,00000000,00000000,001024,002,001,00016384,00192118
015,00000000,00380996,020,00275504,00000000,00000000,001024,002,001,00016384,00191818
016,00000000,00387897,020,00275945,00000000,00000000,001024,002,001,00016384,00195183
017,00000000,00383528,020,00277418,00000000,00000000,001024,002,001,00016384,00193683
018,00000000,00386395,020,00277208,00000000,00000000,001024,002,001,00016384,00194801
019,00000000,00387398,020,00278008,00000000,00000000,001024,002,001,00016384,00195078
020,00000000,00383889,020,00275035,00000000,00000000,001024,002,001,00016384,00193289
021,00000000,00386624,020,00278517,00000000,00000000,001024,002,001,00016384,00194950
022,00000000,00385782,020,00276136,00000000,00000000,001024,002,001,00016384,00194202
023,00000000,00384208,020,00275330,00000000,00000000,001024,002,001,00016384,00193514
024,00000000,00383138,020,00274325,00000000,00000000,001024,002,001,00016384,00193101
025,00000000,00383334,020,00275053,00000000,00000000,001024,002,001,00016384,00193225
026,00000000,00386625,020,00278219,00000000,00000000,001024,002,001,00016384,00194737
027,00000000,00384220,020,00275533,00000000,00000000,001024,002,001,00016384,00193420
028,00000000,00386671,020,00276695,00000000,00000000,001024,002,001,00016384,00194620
029,00000000,00388627,020,00277380,00000000,00000000,001024,002,001,00016384,00196148
030,00000000,00386570,020,00277169,00000000,00000000,001024,002,001,00016384,00194863
031,00000000,00387848,020,00277008,00000000,00000000,001024,002,001,00016384,00195429
000,00000000,00299151,020,00209071,00000000,00000000,001024,000,002,00016384,00150588
001,00000000,00300823,020,00210129,00000000,00000000,001024,000,002,00016384,00151450
002,00000000,00301589,020,00210644,00000000,00000000,001024,000,002,00016384,00151598
003,00000000,00301962,020,00209066,00000000,00000000,001024,000,002,00016384,00151811
004,00000000,00296786,020,00209289,00000000,00000000,001024,000,002,00016384,00149656
005,00000000,00298722,020,00209701,00000000,00000000,001024,000,002,00016384,00150104
006,00000000,00299567,020,00210225,00000000,00000000,001024,000,002,00016384,00151135
007,00000000,00301429,020,00210674,00000000,00000000,001024,000,002,00016384,00152010
008,00000000,00300527,020,00209852,00000000,00000000,001024,000,002,00016384,00151710
009,00000000,00299120,020,00209952,00000000,00000000,001024,000,002,00016384,00151259
010,00000000,00301924,020,00210911,00000000,00000000,001024,000,002,00016384,00152231
011,00000000,00302436,020,00210296,00000000,00000000,001024,000,002,00016384,00152007
012,00000000,00302172,020,00210353,00000000,00000000,001024,000,002,00016384,00151902
013,00000000,00299426,020,00210354,00000000,00000000,001024,000,002,00016384,00151420
014,00000000,00303797,020,00210610,00000000,00000000,001024,000,002,00016384,00152737
015,00000000,00297509,020,00209859,00000000,00000000,001024,000,002,00016384,00149774
016,00000000,00300601,020,00209458,00000000,00000000,001024,000,002,00016384,00151698
017,00000000,00300370,020,00209928,00000000,00000000,001024,000,002,00016384,00150953
018,00000000,00303875,020,00210506,00000000,00000000,001024,000,002,00016384,00153041
019,00000000,00300942,020,00209898,00000000,00000000,001024,000,002,00016384,00151526
020,00000000,00298296,020,00209112,00000000,00000000,001024,000,002,00016384,00149927
021,00000000,00302210,020,00211632,00000000,00000000,001024,000,002,00016384,00151913
022,00000000,00300299,020,00209158,00000000,00000000,001024,000,002,00016384,00150723
