tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
000,00000000,00270204,00002027,010,00134437,00001304,00001041,001024,001,001,00001024,00135741,01,0000013898006978,00000000,00000000,002,001,016,016,0,0.99,050
001,00000000,00270334,00001396,010,00134325,00001205,00001000,001024,001,001,00001024,00135530,01,0000014553107796,00000000,00000000,002,001,016,016,0,0.99,050
002,00000000,00270194,00001301,010,00134567,00001231,00000990,001024,001,001,00001024,00135798,01,0000014560564525,00000000,00000000,002,001,016,016,0,0.99,050
003,00000000,00270376,00001607,010,00134398,00001272,00001005,001024,001,001,00001024,00135670,01,0000014563788661,00000000,00000000,002,001,016,016,0,0.99,050
004,00000000,00270317,00005679,010,00134404,00001166,00000916,001024,001,001,00001024,00135570,01,0000014575888077,00000000,00000000,002,001,016,016,0,0.99,050
005,00000000,00270086,00107702,010,00134310,00001281,00001025,001024,001,001,00001024,00135591,01,0000014577934512,00000000,00000000,002,001,016,016,0,0.99,050
006,00000000,00270218,00001356,010,00134015,00001304,00001030,001024,001,001,00001024,00135319,01,0000014580344962,00000000,00000000,002,001,016,016,0,0.99,050
007,00000000,00270567,00001279,010,00134626,00001271,00001020,001024,001,001,00001024,00135897,01,0000014535494759,00000000,00000000,002,001,016,016,0,0.99,050
008,00000000,00270198,00001355,010,00134826,00001270,00000991,001024,001,001,00001024,00136096,01,0000014613737716,00000000,00000000,002,001,016,016,0,0.99,050
009,00000000,00270539,00001587,010,00134594,00001281,00000979,001024,001,001,00001024,00135875,01,0000014538092313,00000000,00000000,002,001,016,016,0,0.99,050
010,00000000,00269877,00001514,010,00134262,00001230,00000971,001024,001,001,00001024,00135492,01,0000014586995991,00000000,00000000,002,001,016,016,0,0.99,050
011,00000000,00270487,00002622,010,00134515,00001311,00001035,001024,001,001,00001024,00135826,01,0000014530406084,00000000,00000000,002,001,016,016,0,0.99,050
012,00000000,00270072,00001818,010,00134426,00001203,00000973,001024,001,001,00001024,00135629,01,0000014654676758,00000000,00000000,002,001,016,016,0,0.99,050
013,00000000,00270540,00001700,010,00134371,00001149,00000923,001024,001,001,00001024,00135520,01,0000014537130814,00000000,00000000,002,001,016,016,0,0.99,050
014,00000000,00270436,00001826,010,00134980,00001206,00000965,001024,001,001,00001024,00136186,01,0000014529114517,00000000,00000000,002,001,016,016,0,0.99,050
015,00000000,00271112,00001497,010,00134983,00001209,00000942,001024,001,001,00001024,00136192,01,0000014831533628,00000000,00000000,002,001,016,016,0,0.99,050
000,00000000,00270049,00013881,010,00132475,00003264,00000972,001024,001,000,00000128,00135739,01,0000014802175420,00000000,00000000,002,001,016,016,0,0.99,050
