lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0000530,0000061,0001004,0004318,0004839,0004128,0000010,001024,001,002,00001024,01,004,004,016,016
0000000,0002376,0000501,0001297,0020409,0010680,0009809,0001375,001024,001,002,00001024,01,004,004,016,016
0000000,0000531,0000061,0001008,0008927,0009568,0008797,0000011,001024,002,002,00001024,01,004,004,016,016
0000000,0002089,0000461,0001183,0021159,0011031,0010209,0001109,001024,002,002,00001024,01,004,004,016,016
0000000,0000531,0000070,0001004,0004368,0004939,0004218,0000011,001024,003,002,00001024,01,004,004,016,016
0000000,0002205,0000481,0001241,0020478,0010640,0009799,0001216,001024,003,002,00001024,01,004,004,016,016
0000000,0000521,0000061,0001004,0004268,0004769,0003997,0000010,001024,000,000,00000128,01,004,004,016,016
0000000,0002371,0000521,0001224,0020218,0010640,0009738,0001380,001024,000,000,00000128,01,004,004,016,016
0000000,0000521,0000061,0001004,0004358,0004859,0004148,0000010,001024,001,000,00000128,01,004,004,016,016
0000000,0002467,0000521,0001267,0020218,0010630,0009738,0001464,001024,001,000,00000128,01,004,004,016,016
0000000,0000531,0000070,0001008,0004408,0004939,0004207,0000011,001024,002,000,00000128,01,004,004,016,016
0000000,0002292,0000491,0001257,0020248,0010559,0009698,0001308,001024,002,000,00000128,01,004,004,016,016
0000000,0000531,0000070,0001009,0008986,0009598,0008806,0000011,001024,003,000,00000128,01,004,004,016,016
0000000,0002189,0000501,0001189,0021310,0010951,0010139,0001214,001024,003,000,00000128,01,004,004,016,016
0000000,0000521,0000061,0001004,0004408,0004899,0004128,0000010,001024,000,001,00000128,01,004,004,016,016
0000000,0002209,0000531,0001217,0020698,0010761,0009909,0001214,001024,000,001,00000128,01,004,004,016,016
0000000,0000521,0000070,0001008,0008946,0009538,0008757,0000011,001024,001,001,00000128,01,004,004,016,016
0000000,0002129,0000511,0001197,0021390,0011011,0010149,0001152,001024,001,001,00000128,01,004,004,016,016
0000000,0000531,0000061,0001004,0004559,0005049,0004298,0000011,001024,002,001,00000128,01,004,004,016,016
0000000,0002150,0000501,0001217,0020669,0010700,0009889,0001157,001024,002,001,00000128,01,004,004,016,016
0000000,0000521,0000061,0001004,0004558,0005009,0004248,0000011,001024,003,001,00000128,01,004,004,016,016
0000000,0002293,0000531,0001263,0020708,0010730,0009908,0001289,001024,003,001,00000128,01,004,004,016,016
0000000,0000521,0000061,0001004,0004408,0004909,0004148,0000010,001024,000,002,00000128,01,004,004,016,016
0000000,0002247,0000511,0001220,0020679,0010771,0009909,0001256,001024,000,002,00000128,01,004,004,016,016
0000000,0000531,0000070,0001009,0008937,0009548,0008767,0000011,001024,001,002,00000128,01,004,004,016,016
