tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
011,00000000,01204115,00132457,010,00605277,00000000,00000000,001024,000,001,00000128,00604972,01,0000020280951666,00000000,00000000,001,002,016,016
012,00000000,01192884,00148948,010,00599194,00000000,00000000,001024,000,001,00000128,00598906,01,0000020143891709,00000000,00000000,001,002,016,016
013,00000000,01190379,00112504,010,00598073,00000000,00000000,001024,000,001,00000128,00597765,01,0000020482120719,00000000,00000000,001,002,016,016
014,00000000,01186780,00136036,010,00595977,00000000,00000000,001024,000,001,00000128,00595677,01,0000019389039409,00000000,00000000,001,002,016,016
015,00000000,01126138,00126171,010,00566181,00000000,00000000,001024,000,001,00000128,00565891,01,0000001957761586,00000000,00000000,001,002,016,016
000,00000000,01210690,00239366,010,00608531,00000000,00000000,001024,000,002,00000128,00608239,01,0000020671359622,00000000,00000000,001,002,016,016
001,00000000,01218563,00178298,010,00612523,00000000,00000000,001024,000,002,00000128,00612201,01,0000020802230858,00000000,00000000,001,002,016,016
002,00000000,01213897,00142978,010,00609871,00000000,00000000,001024,000,002,00000128,00609569,01,0000020780929703,00000000,00000000,001,002,016,016
003,00000000,01210616,00111362,010,00608598,00000000,00000000,001024,000,002,00000128,00608297,01,0000020780979811,00000000,00000000,001,002,016,016
004,00000000,01199343,00146880,010,00602747,00000000,00000000,001024,000,002,00000128,00602395,01,0000019963344468,00000000,00000000,001,002,016,016
005,00000000,01202749,00120854,010,00604554,00000000,00000000,001024,000,002,00000128,00604247,01,0000020521199736,00000000,00000000,001,002,016,016
006,00000000,01203795,00113405,010,00605090,00000000,00000000,001024,000,002,00000128,00604756,01,0000020154558992,00000000,00000000,001,002,016,016
007,00000000,01197555,00180984,010,00601767,00000000,00000000,001024,000,002,00000128,00601467,01,0000020162706991,00000000,00000000,001,002,016,016
008,00000000,01194361,00131642,010,00600237,00000000,00000000,001024,000,002,00000128,00599932,01,0000020012026185,00000000,00000000,001,002,016,016
009,00000000,01194255,00160813,010,00599791,00000000,00000000,001024,000,002,00000128,00599491,01,0000020699051138,00000000,00000000,001,002,016,016
010,00000000,01186273,00117315,010,00595854,00000000,00000000,001024,000,002,00000128,00595554,01,0000019604387752,00000000,00000000,001,002,016,016
011,00000000,01192239,00143286,010,00599256,00000000,00000000,001024,000,002,00000128,00598937,01,0000020283954517,00000000,00000000,001,002,016,016
012,00000000,01196569,00114157,010,00601344,00000000,00000000,001024,000,002,00000128,00601054,01,0000020206300195,00000000,00000000,001,002,016,016
013,00000000,01197283,00120167,010,00601852,00000000,00000000,001024,000,002,00000128,00601529,01,0000020460369547,00000000,00000000,001,002,016,016
014,00000000,01124009,00131966,010,00565077,00000000,00000000,001024,000,002,00000128,00564789,01,0000002617618596,00000000,00000000,001,002,016,016
015,00000000,01194669,00109755,010,00600228,00000000,00000000,001024,000,002,00000128,00599907,01,0000020268721807,00000000,00000000,001,002,016,016
000,00000000,01130138,00332589,010,00567980,00000000,00000000,001024,000,000,00000128,00567437,01,0000018817884113,00000000,00000000,001,004,016,016
001,00000000,01135461,00244306,010,00570832,00000000,00000000,001024,000,000,00000128,00570285,01,0000019018981464,00000000,00000000,001,004,016,016
002,00000000,01131256,00286704,010,00568064,00000000,00000000,001024,000,000,00000128,00567499,01,0000019169040629,00000000,00000000,001,004,016,016
003,00000000,01127093,00262799,010,00566545,00000000,00000000,001024,000,000,00000128,00565980,01,0000019332492901,00000000,00000000,001,004,016,016
004,00000000,01118534,00288668,010,00561934,00000000,00000000,001024,000,000,00000128,00561419,01,0000018367029805,00000000,00000000,001,004,016,016
005,00000000,01119166,00238126,010,00562365,00000000,00000000,001024,000,000,00000128,00561788,01,0000018874835365,00000000,00000000,001,004,016,016
006,00000000,01115661,00239963,010,00560644,00000000,00000000,001024,000,000,00000128,00560123,01,0000018753860390,00000000,00000000,001,004,016,016
007,00000000,01113418,00245058,010,00560358,00000000,00000000,001024,000,000,00000128,00559815,01,0000018606232254,00000000,00000000,001,004,016,016
008,00000000,01117951,00229199,010,00562550,00000000,00000000,001024,000,000,00000128,00561988,01,0000018639021957,00000000,00000000,001,004,016,016
009,00000000,01115218,00266602,010,00561427,00000000,00000000,001024,000,000,00000128,00560886,01,0000018875724552,00000000,00000000,001,004,016,016
010,00000000,01112436,00245948,010,00559483,00000000,00000000,001024,000,000,00000128,00558939,01,0000019039964048,00000000,00000000,001,004,016,016
011,00000000,01120391,00256270,010,00564049,00000000,00000000,001024,000,000,00000128,00563511,01,0000018760693268,00000000,00000000,001,004,016,016
012,00000000,01111949,00242070,010,00559223,00000000,00000000,001024,000,000,00000128,00558676,01,0000018869601239,00000000,00000000,001,004,016,016
013,00000000,01057483,00209293,010,00532013,00000000,00000000,001024,000,000,00000128,00531505,01,0000002047096497,00000000,00000000,001,004,016,016
014,00000000,01116125,00250791,010,00560127,00000000,00000000,001024,000,000,00000128,00559583,01,0000018219136554,00000000,00000000,001,004,016,016
015,00000000,01118852,00211863,010,00561856,00000000,00000000,001024,000,000,00000128,00561254,01,0000018691547275,00000000,00000000,001,004,016,016
000,00000000,01130154,00333067,010,00569159,00000000,00000000,001024,000,001,00000128,00568604,01,0000019262678064,00000000,00000000,001,004,016,016
001,00000000,01134800,00223728,010,00570308,00000000,00000000,001024,000,001,00000128,00569760,01,0000019378429403,00000000,00000000,001,004,016,016
002,00000000,01133138,00243948,010,00569352,00000000,00000000,001024,000,001,00000128,00568781,01,0000019197162097,00000000,00000000,001,004,016,016
003,00000000,01069225,00240436,010,00537211,00000000,00000000,001024,000,001,00000128,00536691,01,0000001598299220,00000000,00000000,001,004,016,016
004,00000000,01128143,00347316,010,00567753,00000000,00000000,001024,000,001,00000128,00567187,01,0000018705582604,00000000,00000000,001,004,016,016
005,00000000,01132000,00249347,010,00569654,00000000,00000000,001024,000,001,00000128,00569100,01,0000018653232571,00000000,00000000,001,004,016,016
006,00000000,01123012,00234634,010,00564810,00000000,00000000,001024,000,001,00000128,00564269,01,0000018555697072,00000000,00000000,001,004,016,016
007,00000000,01119536,00250608,010,00563463,00000000,00000000,001024,000,001,00000128,00562948,01,0000018644167656,00000000,00000000,001,004,016,016
008,00000000,01121901,00226898,010,00563623,00000000,00000000,001024,000,001,00000128,00563099,01,0000018781820062,00000000,00000000,001,004,016,016
009,00000000,01124523,00225705,010,00566131,00000000,00000000,001024,000,001,00000128,00565624,01,0000019143385620,00000000,00000000,001,004,016,016
010,00000000,01119334,00236622,010,00562942,00000000,00000000,001024,000,001,00000128,00562391,01,0000019153376379,00000000,00000000,001,004,016,016
011,00000000,01116057,00230771,010,00561264,00000000,00000000,001024,000,001,00000128,00560724,01,0000018704910116,00000000,00000000,001,004,016,016
012,00000000,01121664,00251613,010,00563694,00000000,00000000,001024,000,001,00000128,00563161,01,0000018439088502,00000000,00000000,001,004,016,016
013,00000000,01118804,00231840,010,00562246,00000000,00000000,001024,000,001,00000128,00561693,01,0000018990087175,00000000,00000000,001,004,016,016
