tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
021,00000000,00103086,010,00051740,00000000,00000000,001024,000,001,00016384,00051740,02,0000000013412055,00003135
022,00000000,00100793,010,00050785,00000000,00000000,001024,000,001,00016384,00050785,02,0000000014616551,00003145
023,00000000,00101874,010,00051319,00000000,00000000,001024,000,001,00016384,00051319,02,0000000011982987,00003153
024,00000000,00103992,010,00052175,00000000,00000000,001024,000,001,00016384,00052175,02,0000000014757535,00003084
025,00000000,00099353,010,00050067,00000000,00000000,001024,000,001,00016384,00050067,02,0000000012749306,00003104
026,00000000,00102450,010,00051862,00000000,00000000,001024,000,001,00016384,00051862,02,0000000014890236,00003114
027,00000000,00101134,010,00051058,00000000,00000000,001024,000,001,00016384,00051058,02,0000000013714423,00003086
028,00000000,00102861,010,00052008,00000000,00000000,001024,000,001,00016384,00052008,02,0000000013459335,00003082
029,00000000,00105664,010,00053097,00000000,00000000,001024,000,001,00016384,00053097,02,0000000011289204,00003081
030,00000000,00102150,010,00051588,00000000,00000000,001024,000,001,00016384,00051588,02,0000000013273974,00003117
031,00000000,00101606,010,00051256,00000000,00000000,001024,000,001,00016384,00051256,02,0000000011267415,00003115
000,00000000,00099639,010,00049920,00000000,00000000,001024,001,001,00016384,00049920,02,0000000010045327,00003096
001,00000000,00101934,010,00051258,00000000,00000000,001024,001,001,00016384,00051258,02,0000000011726600,00003094
002,00000000,00100107,010,00050080,00000000,00000000,001024,001,001,00016384,00050080,02,0000000010310278,00003095
003,00000000,00100819,010,00050493,00000000,00000000,001024,001,001,00016384,00050493,02,0000000011818409,00003079
004,00000000,00103181,010,00051996,00000000,00000000,001024,001,001,00016384,00051996,02,0000000012633114,00003104
005,00000000,00103475,010,00052045,00000000,00000000,001024,001,001,00016384,00052045,02,0000000011390922,00003118
006,00000000,00103264,010,00051984,00000000,00000000,001024,001,001,00016384,00051984,02,0000000013446244,00003067
007,00000000,00100962,010,00050671,00000000,00000000,001024,001,001,00016384,00050671,02,0000000010987935,00003084
008,00000000,00103032,010,00051714,00000000,00000000,001024,001,001,00016384,00051714,02,0000000013500975,00003106
009,00000000,00103681,010,00052278,00000000,00000000,001024,001,001,00016384,00052278,02,0000000011852819,00003104
010,00000000,00100553,010,00050931,00000000,00000000,001024,001,001,00016384,00050931,02,0000000013082292,00003092
011,00000000,00103778,010,00052211,00000000,00000000,001024,001,001,00016384,00052211,02,0000000011072333,00003126
012,00000000,00099833,010,00050255,00000000,00000000,001024,001,001,00016384,00050255,02,0000000012745569,00003097
013,00000000,00101967,010,00051066,00000000,00000000,001024,001,001,00016384,00051066,02,0000000011735022,00003090
014,00000000,00099639,010,00050172,00000000,00000000,001024,001,001,00016384,00050172,02,0000000013170301,00003105
015,00000000,00099281,010,00050136,00000000,00000000,001024,001,001,00016384,00050136,02,0000000011348956,00003092
016,00000000,00103239,010,00051946,00000000,00000000,001024,001,001,00016384,00051946,02,0000000013249237,00003091
017,00000000,00102625,010,00051443,00000000,00000000,001024,001,001,00016384,00051443,02,0000000012399061,00003129
018,00000000,00097912,010,00049357,00000000,00000000,001024,001,001,00016384,00049357,02,0000000012896325,00003075
019,00000000,00103638,010,00052227,00000000,00000000,001024,001,001,00016384,00052227,02,0000000013740523,00003123
020,00000000,00101667,010,00050925,00000000,00000000,001024,001,001,00016384,00050925,02,0000000013193557,00003100
021,00000000,00100454,010,00050688,00000000,00000000,001024,001,001,00016384,00050688,02,0000000012194126,00003116
022,00000000,00100059,010,00050357,00000000,00000000,001024,001,001,00016384,00050357,02,0000000013070247,00003055
023,00000000,00104189,010,00052356,00000000,00000000,001024,001,001,00016384,00052356,02,0000000012148094,00003081
024,00000000,00098623,010,00049650,00000000,00000000,001024,001,001,00016384,00049650,02,0000000013131607,00003100
025,00000000,00101782,010,00051243,00000000,00000000,001024,001,001,00016384,00051243,02,0000000012405966,00003056
026,00000000,00102118,010,00051429,00000000,00000000,001024,001,001,00016384,00051429,02,0000000012842164,00003079
027,00000000,00103079,010,00051866,00000000,00000000,001024,001,001,00016384,00051866,02,0000000010562821,00003115
028,00000000,00100567,010,00050596,00000000,00000000,001024,001,001,00016384,00050596,02,0000000012612629,00003097
029,00000000,00104611,010,00052563,00000000,00000000,001024,001,001,00016384,00052563,02,0000000010988301,00003096
030,00000000,00103904,010,00052250,00000000,00000000,001024,001,001,00016384,00052250,02,0000000012811492,00003078
031,00000000,00104048,010,00052350,00000000,00000000,001024,001,001,00016384,00052350,02,0000000010394340,00003156
000,00000000,00106258,010,00052968,00000000,00000000,001024,002,001,00016384,00052968,02,0000000004771759,00003267
001,00000000,00094715,010,00047739,00000000,00000000,001024,002,001,00016384,00047739,02,0000000007501329,00003050
002,00000000,00104974,010,00052743,00000000,00000000,001024,002,001,00016384,00052743,02,0000000004579160,00003311
003,00000000,00096690,010,00048450,00000000,00000000,001024,002,001,00016384,00048450,02,0000000007170823,00003029
