lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate
0000000,0001978,0000541,0001188,0005631,0006472,0005730,0000982,001024,003,002,00000128,01,004,004,016,016,1
0000000,0001003,0000181,0001008,0004088,0004819,0004128,0000010,001024,000,000,00000008,01,004,004,016,016,1
0000000,0001621,0000551,0001121,0005080,0006022,0005189,0000634,001024,000,000,00000008,01,004,004,016,016,1
0000000,0000521,0000080,0001011,0004128,0004889,0004168,0000010,001024,001,000,00000008,01,004,004,016,016,1
0000000,0002293,0000541,0001214,0005020,0006011,0005140,0001326,001024,001,000,00000008,01,004,004,016,016,1
0000000,0000521,0000080,0001011,0004127,0004909,0004168,0000010,001024,002,000,00000008,01,004,004,016,016,1
0000000,0002275,0000541,0001214,0005030,0005981,0005140,0001310,001024,002,000,00000008,01,004,004,016,016,1
0000000,0000521,0000080,0001011,0004117,0004899,0004167,0000010,001024,003,000,00000008,01,004,004,016,016,1
0000000,0002281,0000541,0001214,0005009,0005991,0005130,0001312,001024,003,000,00000008,01,004,004,016,016,1
0000000,0001010,0000190,0001011,0004088,0004829,0004128,0000011,001024,000,001,00000008,01,004,004,016,016,1
0000000,0001580,0000551,0001130,0005130,0006072,0005219,0000594,001024,000,001,00000008,01,004,004,016,016,1
0000000,0000531,0000090,0001013,0004128,0004899,0004177,0000010,001024,001,001,00000008,01,004,004,016,016,1
0000000,0002225,0000541,0001215,0005059,0006042,0005150,0001258,001024,001,001,00000008,01,004,004,016,016,1
0000000,0000531,0000120,0001015,0004127,0004909,0004178,0000010,001024,002,001,00000008,01,004,004,016,016,1
0000000,0002227,0000541,0001218,0005029,0006001,0005160,0001254,001024,002,001,00000008,01,004,004,016,016,1
0000000,0000531,0000090,0001014,0004127,0004909,0004168,0000010,001024,003,001,00000008,01,004,004,016,016,1
0000000,0002228,0000551,0001220,0005029,0006022,0005150,0001253,001024,003,001,00000008,01,004,004,016,016,1
0000000,0001010,0000190,0001011,0004088,0004819,0004128,0000010,001024,000,002,00000008,01,004,004,016,016,1
0000000,0001590,0000561,0001133,0005110,0006052,0005219,0000601,001024,000,002,00000008,01,004,004,016,016,1
0000000,0000531,0000090,0001012,0004127,0004889,0004168,0000010,001024,001,002,00000008,01,004,004,016,016,1
0000000,0002242,0000551,0001217,0005040,0006021,0005140,0001271,001024,001,002,00000008,01,004,004,016,016,1
0000000,0000531,0000111,0001015,0004128,0004909,0004178,0000010,001024,002,002,00000008,01,004,004,016,016,1
0000000,0002232,0000541,0001217,0005049,0006001,0005150,0001258,001024,002,002,00000008,01,004,004,016,016,1
0000000,0000531,0000090,0001014,0004118,0004899,0004167,0000010,001024,003,002,00000008,01,004,004,016,016,1
0000000,0002245,0000541,0001214,0005029,0006032,0005140,0001272,001024,003,002,00000008,01,004,004,016,016,1
